# stan_version_major = 2
# stan_version_minor = 17
# stan_version_patch = 1
# model = posterior_model_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 3
# data
#   file = posterior_model_3.data.R
# init = 2 (Default)
# random
#   seed = 3284628023
# output
#   file = posterior_model_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,p.1,p.2,p.3,p.4,p.5,p.6,p.7
# Adaptation terminated
# Step size = 0.66802
# Diagonal elements of inverse mass matrix:
# 0.0775894, 0.0419018, 0.117084, 0.16983, 1.47057, 0.281274
-173.145,0.985676,0.66802,3,7,0,174.804,0.143475,0.429524,0.142365,0.0687954,0.00945395,0.139619,0.0667682
-171.932,0.997644,0.66802,3,7,0,173.616,0.138042,0.425196,0.181912,0.109786,0.0135001,0.0907159,0.0408485
-172.081,0.814939,0.66802,3,7,0,174.95,0.13901,0.410184,0.157108,0.101605,0.00410054,0.114793,0.0731988
-173.477,0.909106,0.66802,3,7,0,173.958,0.140593,0.430955,0.128902,0.146355,0.00325334,0.108832,0.0411103
-173.668,0.671209,0.66802,2,3,0,180.854,0.118311,0.449461,0.158161,0.085357,0.00106332,0.101155,0.0864925
-175.953,0.910458,0.66802,2,7,0,177.243,0.120349,0.419293,0.163068,0.105161,5.42498e-05,0.125258,0.0668165
-175.061,0.597045,0.66802,3,7,0,180.074,0.0933675,0.399089,0.247388,0.0993937,0.0209605,0.0702534,0.0695479
-175.96,0.950516,0.66802,3,7,0,176.827,0.166327,0.477997,0.100529,0.0970552,0.00160894,0.123214,0.0332686
-176.306,0.956676,0.66802,3,7,0,179.199,0.0901672,0.379385,0.247405,0.0876237,0.00283812,0.0884633,0.104118
-178.277,0.9238,0.66802,3,7,0,180.581,0.130229,0.507439,0.115646,0.116812,0.000251077,0.109647,0.0199771
-174.822,0.934134,0.66802,2,3,0,180.973,0.110202,0.483409,0.164195,0.0857658,0.000251426,0.108143,0.0480341
-174.447,0.935523,0.66802,2,7,0,175.144,0.117343,0.454842,0.17787,0.0886052,0.000228914,0.107467,0.0536441
-180.932,0.596337,0.66802,2,3,0,181.3,0.0798843,0.536526,0.0961073,0.0937934,0.000172094,0.0907399,0.102777
-179.269,0.936986,0.66802,2,3,0,183.515,0.0773269,0.484686,0.122517,0.113435,0.000112977,0.0951762,0.106746
-176.024,0.995628,0.66802,3,7,0,183.966,0.151347,0.384834,0.247971,0.0885895,0.00158751,0.101175,0.0244962
-173.544,1,0.66802,2,7,0,176.53,0.143421,0.413479,0.124751,0.118387,0.00501625,0.0990722,0.0958736
-175.778,0.785203,0.66802,3,7,0,179.319,0.0804592,0.361132,0.239591,0.0949011,0.0130889,0.121133,0.0896952
-179.371,0.65793,0.66802,3,7,0,184.79,0.214744,0.372893,0.250221,0.0771691,0.00326641,0.0531378,0.0285687
-174.456,1,0.66802,2,3,0,179.647,0.0883003,0.447424,0.123077,0.118184,0.0208873,0.115716,0.0864123
-179.321,0.671828,0.66802,2,3,0,181.479,0.0618679,0.392006,0.237533,0.186568,0.0106799,0.0680062,0.0433386
-172.827,0.955589,0.66802,2,3,0,180.131,0.108343,0.450061,0.193078,0.0778045,0.00276005,0.113767,0.054187
-173.47,0.933992,0.66802,3,7,0,174.978,0.100238,0.495383,0.169945,0.0875673,0.00183795,0.0859573,0.0590712
-175.465,0.795373,0.66802,3,7,0,177.662,0.120937,0.396946,0.116638,0.184818,0.0218041,0.101953,0.0569041
-176.044,0.785415,0.66802,3,7,0,180.19,0.137102,0.468949,0.0891169,0.114137,0.0146298,0.142242,0.0338237
