# stan_version_major = 2
# stan_version_minor = 17
# stan_version_patch = 1
# model = bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 3
# data
#   file = bernoulli_3.data.R
# init = 2 (Default)
# random
#   seed = 2961180736
# output
#   file = bernoulli_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.919933
# Diagonal elements of inverse mass matrix:
# 0.446808
-8.9829,1,0.919933,1,1,0,9.76436,0.568499
-8.79373,1,0.919933,2,3,0,9.21467,0.551359
-8.2653,1,0.919933,2,3,0,8.73481,0.493307
-8.06046,1,0.919933,1,1,0,8.28702,0.464001
-8.35753,0.919346,0.919933,1,1,0,8.4247,0.504898
-7.80485,1,0.919933,2,3,0,8.20372,0.414452
-7.84981,0.926364,0.919933,1,3,0,8.27309,0.249408
-7.73727,0.966473,0.919933,2,3,0,8.17841,0.395508
-8.477,0.857371,0.919933,1,3,0,8.48519,0.51883
-8.62483,0.617119,0.919933,1,3,0,10.8816,0.166721
-8.97513,0.948789,0.919933,1,1,0,9.06635,0.14512
-7.63881,0.974737,0.919933,2,3,0,9.21291,0.33821
-8.12161,0.876493,0.919933,1,3,0,8.3036,0.210761
-7.63819,0.994591,0.919933,1,3,0,8.155,0.332423
-7.96987,0.917885,0.919933,1,3,0,8.07115,0.229964
-9.23946,0.842254,0.919933,1,3,0,9.30363,0.131662
-7.83151,0.90021,0.919933,1,3,0,10.308,0.420861
-8.36594,0.776513,0.919933,1,3,0,9.25412,0.186727
-7.64832,1,0.919933,2,3,0,8.32378,0.314144
-7.63991,0.966718,0.919933,2,3,0,7.86421,0.341389
-7.67001,0.993504,0.919933,1,3,0,7.67193,0.368221
-8.39626,0.785453,0.919933,1,3,0,8.8886,0.184146
-7.69412,1,0.919933,2,3,0,8.23309,0.379787
-7.6525,1,0.919933,1,1,0,7.68323,0.356622
-7.66367,0.975915,0.919933,2,3,0,7.79742,0.303105
-8.47604,0.832244,0.919933,1,3,0,8.63475,0.177684
-11.3405,0.736881,0.919933,1,3,0,11.6582,0.0675222
-7.79355,0.97858,0.919933,2,7,0,10.5166,0.411589
-7.7866,1,0.919933,1,1,0,7.82988,0.409775
-8.33682,0.75504,0.919933,2,3,0,9.23568,0.189276
-8.69565,0.942369,0.919933,1,1,0,8.74835,0.161926
-8.60656,1,0.919933,1,1,0,8.83892,0.167999
-8.94982,0.949456,0.919933,1,1,0,9.04028,0.146521
-9.53526,0.925711,0.919933,1,1,0,9.61422,0.118709
-9.07363,1,0.919933,2,3,0,9.59386,0.139865
-8.4032,1,0.919933,1,1,0,8.98589,0.183566
-9.15077,0.889918,0.919933,1,1,0,9.16169,0.135955
-8.0746,0.977289,0.919933,1,3,0,8.97958,0.21625
-7.64005,0.999872,0.919933,1,3,0,8.07835,0.325025
-9.95265,0.547094,0.919933,2,3,0,11.0438,0.103303
-8.00146,0.963305,0.919933,1,3,0,9.818,0.225578
-8.00146,0.969708,0.919933,1,1,0,8.17069,0.225578
-8.42064,0.924547,0.919933,1,1,0,8.42797,0.182123
-8.02142,1,0.919933,1,1,0,8.35707,0.222926
-8.58393,0.901923,0.919933,1,1,0,8.58526,0.169607
-7.64643,0.968866,0.919933,1,3,0,8.79906,0.350975
-8.85898,0.749097,0.919933,1,3,0,9.00924,0.557435
-7.89601,1,0.919933,1,1,0,8.58776,0.434785
-7.63837,0.999911,0.919933,1,3,0,7.87685,0.336088
-7.68518,0.987655,0.919933,1,3,0,7.7011,0.292553
-7.75666,0.975218,0.919933,2,3,0,7.89985,0.401454
-7.86319,0.971141,0.919933,1,1,0,7.87791,0.427943
-7.75057,1,0.919933,2,3,0,7.84494,0.39964
-7.66404,0.984012,0.919933,2,3,0,7.86521,0.364735
-7.63893,1,0.919933,1,3,0,7.66008,0.338669
-7.64496,0.998034,0.919933,1,3,0,7.6497,0.317608
-7.64042,0.981957,0.919933,2,3,0,7.76068,0.342505
-9.55337,0.588802,0.919933,2,3,0,10.5565,0.117977
-8.012,0.978847,0.919933,2,7,0,9.19924,0.456085
-7.81538,1,0.919933,1,1,0,7.97619,0.417038
-7.64059,0.996793,0.919933,1,3,0,7.83105,0.323917
-8.35765,0.833805,0.919933,1,3,0,8.53498,0.504912
-7.6659,0.94979,0.919933,2,3,0,8.69656,0.365857
-7.6525,1,0.919933,1,1,0,7.6639,0.35662
-7.66094,0.997797,0.919933,1,1,0,7.66306,0.362768
-8.17335,0.891537,0.919933,1,3,0,8.20393,0.480858
-8.87175,0.940242,0.919933,2,3,0,8.92411,0.558603
-8.18045,1,0.919933,2,3,0,8.73068,0.481856
-7.77219,1,0.919933,2,3,0,8.06803,0.405883
-7.77219,0.726336,0.919933,1,3,0,8.86606,0.405883
-7.70324,1,0.919933,1,1,0,7.76018,0.383499
-9.60351,0.646483,0.919933,1,3,0,9.7283,0.616597
-7.72389,0.96614,0.919933,1,3,0,9.9653,0.278758
-7.72159,0.985938,0.919933,2,3,0,7.87561,0.279469
-7.85725,0.945013,0.919933,1,3,0,8.11309,0.426654
-8.73655,0.676269,0.919933,2,3,0,10.0751,0.545877
-7.65591,0.988575,0.919933,1,3,0,8.81419,0.308049
-8.16916,0.870257,0.919933,1,3,0,8.3775,0.480266
-7.81294,0.900482,0.919933,2,3,0,8.91369,0.416447
-7.94674,0.855588,0.919933,2,3,0,8.78349,0.233338
-8.19993,0.983953,0.919933,2,3,0,8.2174,0.202328
-8.47466,0.952905,0.919933,1,1,0,8.52408,0.177792
-7.63972,1,0.919933,2,3,0,8.34024,0.340938
-7.66275,0.937905,0.919933,2,3,0,8.0042,0.303646
-7.97167,0.945482,0.919933,2,3,0,8.09831,0.229707
-8.56001,0.895636,0.919933,1,1,0,8.56001,0.171338
-8.50415,1,0.919933,1,1,0,8.70236,0.175511
-9.37152,0.878562,0.919933,1,1,0,9.3796,0.125637
-8.92083,1,0.919933,1,1,0,9.41458,0.148153
-8.7655,0.94973,0.919933,2,3,0,10.0242,0.157429
-9.17198,0.943748,0.919933,1,1,0,9.26796,0.134909
-8.88976,1,0.919933,1,1,0,9.27421,0.149935
-7.70669,0.998513,0.919933,2,3,0,8.86844,0.284356
-9.14798,0.685082,0.919933,1,3,0,9.77843,0.582379
-8.02772,1,0.919933,2,3,0,8.89879,0.222106
-8.0275,1,0.919933,1,1,0,8.11177,0.222135
-8.0275,0.982535,0.919933,1,1,0,8.16082,0.222135
-7.63854,0.99355,0.919933,1,3,0,8.06574,0.337061
-8.31757,0.829383,0.919933,1,3,0,8.57847,0.191
-7.82495,0.949689,0.919933,1,3,0,8.95119,0.419325
-7.93975,0.98953,0.919933,2,3,0,7.9702,0.443279
-8.39785,0.878734,0.919933,1,1,0,8.42139,0.509725
-8.23085,1,0.919933,1,1,0,8.48279,0.488758
-7.64856,1,0.919933,2,3,0,8.21814,0.313915
-7.72762,0.983033,0.919933,2,3,0,7.77912,0.277626
-7.69821,0.983056,0.919933,1,3,0,7.87321,0.381489
-7.86306,0.714416,0.919933,2,3,0,9.54786,0.246987
-7.71187,1,0.919933,1,1,0,7.82949,0.282599
-7.87771,0.963668,0.919933,1,1,0,7.87774,0.244405
-7.8888,0.999228,0.919933,2,3,0,7.93948,0.242511
-7.91186,0.995231,0.919933,1,1,0,7.96159,0.238724
-8.67122,0.897557,0.919933,1,3,0,8.68127,0.163552
-7.89356,0.923665,0.919933,1,3,0,9.6079,0.434291
-7.8513,0.901762,0.919933,2,3,0,8.55429,0.425345
-7.87884,0.992381,0.919933,1,1,0,7.93069,0.431262
-7.6906,1,0.919933,1,1,0,7.82781,0.378277
-9.92421,0.59475,0.919933,1,3,0,10.1072,0.637851
-7.84619,1,0.919933,2,3,0,9.6451,0.250083
-7.6383,1,0.919933,2,3,0,7.83416,0.331183
-7.66341,0.917648,0.919933,2,3,0,8.13538,0.303257
-7.7503,0.978815,0.919933,2,3,0,7.83433,0.271237
-7.71194,1,0.919933,1,1,0,7.75096,0.282575
-7.76615,0.987788,0.919933,1,1,0,7.77317,0.267185
-7.64975,0.991733,0.919933,1,3,0,7.82215,0.354245
-8.64532,0.790771,0.919933,1,3,0,8.7537,0.536803
-7.90623,1,0.919933,2,3,0,8.47311,0.239631
-7.85171,0.948495,0.919933,1,3,0,8.40226,0.425436
-7.80929,1,0.919933,1,1,0,7.87749,0.415552
-8.37617,0.853303,0.919933,1,1,0,8.37697,0.507146
-7.73046,1,0.919933,2,3,0,8.25556,0.27678
-7.65093,0.992678,0.919933,1,3,0,7.782,0.355301
-9.27522,0.760682,0.919933,2,3,0,9.32531,0.129989
-9.33148,0.992868,0.919933,1,1,0,9.59246,0.12742
-9.24926,1,0.919933,1,1,0,9.56956,0.131201
-7.92539,0.986654,0.919933,2,3,0,9.43911,0.236589
-8.23858,0.940615,0.919933,1,1,0,8.24735,0.198446
