# stan_version_major = 2
# stan_version_minor = 17
# stan_version_patch = 1
# model = posterior_model_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = posterior_model_1.data.R
# init = 2 (Default)
# random
#   seed = 3046248008
# output
#   file = posterior_model_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,p.1,p.2,p.3,p.4,p.5,p.6,p.7
# Adaptation terminated
# Step size = 0.622755
# Diagonal elements of inverse mass matrix:
# 0.0889959, 0.0381177, 0.0872971, 0.15015, 1.37576, 0.285812
-175.915,0.807066,0.622755,2,3,0,178.062,0.111859,0.368327,0.235112,0.131963,0.0145206,0.0556855,0.0825321
-176.333,0.965623,0.622755,3,7,0,179.26,0.0847237,0.483534,0.109975,0.100826,0.0097391,0.171424,0.0397771
-173.589,0.941911,0.622755,3,7,0,179.855,0.0943729,0.487439,0.126187,0.096355,0.00562505,0.11652,0.0735011
-173.95,0.989839,0.622755,3,7,0,175.402,0.0859768,0.441273,0.212141,0.128221,0.00446899,0.0877038,0.0402158
-173.521,0.996056,0.622755,3,7,0,175.932,0.120717,0.475564,0.128326,0.140639,0.00368073,0.087079,0.0439948
-173.312,0.977663,0.622755,3,7,0,175.533,0.121502,0.474943,0.151724,0.117111,0.00172342,0.097829,0.0351681
-174.379,0.899509,0.622755,3,7,0,177.693,0.102972,0.443291,0.162215,0.0706695,0.00165945,0.139857,0.0793361
-173.683,0.944457,0.622755,3,7,0,177.267,0.174837,0.436913,0.143458,0.10921,0.00206691,0.0997724,0.0337432
-173.569,0.867625,0.622755,3,7,0,177.421,0.161502,0.432646,0.169126,0.0701508,0.00262992,0.124975,0.0389707
-173.442,0.992323,0.622755,3,7,0,175.425,0.142821,0.474373,0.12891,0.127038,0.00414917,0.0719377,0.0507708
-174.599,0.879809,0.622755,3,7,0,178.045,0.122453,0.482331,0.109851,0.145891,0.0155931,0.0767442,0.0471371
-173.778,0.987667,0.622755,3,7,0,177.367,0.167371,0.415524,0.122429,0.148377,0.0110827,0.0895153,0.0457003
-172.251,0.973022,0.622755,3,7,0,175.412,0.107874,0.457192,0.194914,0.0828671,0.00954146,0.0997424,0.0478691
-174.291,0.894025,0.622755,2,7,0,174.891,0.132298,0.422895,0.107884,0.135382,0.00993715,0.146071,0.0455328
-174.373,0.925548,0.622755,3,7,0,177.415,0.124467,0.428905,0.241452,0.071036,0.00548799,0.068011,0.0606411
-173.07,0.932853,0.622755,3,7,0,176.795,0.139686,0.435446,0.114869,0.10461,0.00875529,0.135042,0.0615915
-175.988,0.891365,0.622755,3,7,0,177.65,0.117051,0.469722,0.238966,0.0838797,0.00475463,0.0560043,0.0296227
-174.642,1,0.622755,3,7,0,177.46,0.141326,0.419481,0.101866,0.112315,0.0198625,0.148471,0.0566773
-174.588,0.971461,0.622755,3,7,0,176.176,0.121455,0.447277,0.238533,0.0806994,0.00348728,0.0636387,0.0449103
-174.425,1,0.622755,3,7,0,176.476,0.12226,0.390819,0.11639,0.125031,0.0112086,0.152373,0.0819185
-177.329,0.850914,0.622755,3,7,0,179.843,0.15749,0.443824,0.112515,0.0632231,0.00517149,0.18543,0.0323465
-173.407,0.977808,0.622755,2,7,0,178.898,0.0881954,0.497192,0.160556,0.0857125,0.00616943,0.118161,0.0440138
-175.037,0.942728,0.622755,2,7,0,175.852,0.191492,0.327004,0.193826,0.139046,0.0083538,0.086773,0.053505
-176.404,0.88065,0.622755,3,7,0,180.519,0.0860828,0.556355,0.130907,0.0687778,0.00186397,0.0908795,0.0651334
-173.966,0.959629,0.622755,3,7,0,179.294,0.12219,0.490324,0.143127,0.0650736,0.00287538,0.129767,0.0466422
-174.385,0.957569,0.622755,2,3,0,177.324,0.099862,0.470479,0.188983,0.0744433,0.0323474,0.096718,0.0371668
-178.508,0.267246,0.622755,3,7,0,182.111,0.144151,0.486786,0.114613,0.0625074,6.61311e-05,0.116373,0.0755027
-177.975,0.867151,0.622755,3,7,0,185.687,0.112078,0.379983,0.220228,0.147403,5.60856e-05,0.102917,0.0373352
-175.655,0.792383,0.622755,3,7,0,182.671,0.185632,0.451696,0.125487,0.0822079,0.0247054,0.0590359,0.071236
-179.534,0.317907,0.622755,3,7,0,185.852,0.0966825,0.483013,0.215658,0.0685691,8.31605e-05,0.0559799,0.0800147
-174.176,0.819574,0.622755,3,7,0,184.162,0.128787,0.375494,0.163231,0.0993109,0.034822,0.149839,0.0485161
-174.395,0.711852,0.622755,3,7,0,180.175,0.123293,0.477388,0.174471,0.0972277,0.000446607,0.0726634,0.0545096
-176.21,0.919655,0.622755,3,7,0,178.067,0.143589,0.429483,0.122625,0.0815251,0.0502848,0.136124,0.0363692
-173.575,1,0.622755,2,3,0,176.615,0.141378,0.437805,0.124077,0.0772854,0.021166,0.136478,0.0618105
-174.183,0.949407,0.622755,3,7,0,175.875,0.139969,0.46853,0.190565,0.072303,0.00195152,0.0646853,0.0619965
-172.651,0.984454,0.622755,3,7,0,175.164,0.123952,0.398265,0.146555,0.107066,0.0178678,0.13943,0.0668624
-172.481,0.999257,0.622755,3,7,0,173.46,0.12706,0.447397,0.158004,0.134055,0.00605949,0.0752171,0.0522078
-172.57,0.859292,0.622755,3,7,0,175.781,0.151215,0.447619,0.164836,0.0760568,0.00853027,0.114711,0.0370323
-177.148,0.806861,0.622755,3,7,0,178.236,0.0991619,0.341772,0.20337,0.156304,0.000646755,0.105368,0.0933777
-176.866,0.997443,0.622755,3,7,0,180.051,0.168649,0.5102,0.129232,0.0588645,0.00077553,0.0987838,0.0334957
-178.877,0.899603,0.622755,3,7,0,182.591,0.178706,0.498921,0.071962,0.110893,0.00152702,0.0933482,0.0446435
-177.308,1,0.622755,3,7,0,182.212,0.0847367,0.37682,0.274028,0.074266,0.00386628,0.0922584,0.0940243
-175.079,1,0.622755,2,3,0,178.317,0.0828526,0.418836,0.251109,0.0740479,0.00609329,0.0987348,0.0683267
-172.376,0.9809,0.622755,2,3,0,176.29,0.111558,0.41889,0.156919,0.113345,0.0121305,0.100577,0.0865807
-172.376,0.707935,0.622755,2,7,0,178.948,0.111558,0.41889,0.156919,0.113345,0.0121305,0.100577,0.0865807
-174.764,0.884102,0.622755,2,7,0,175.731,0.076534,0.41463,0.230863,0.0930472,0.0232887,0.105211,0.0564272
-173.515,1,0.622755,3,7,0,176.691,0.156109,0.388359,0.205728,0.111364,0.00336891,0.0690792,0.0659922
-173.584,0.849964,0.622755,3,7,0,177.672,0.122768,0.477933,0.162748,0.0661409,0.0121173,0.125013,0.0332794
-174.154,0.903161,0.622755,3,7,0,177.717,0.0879499,0.372935,0.212257,0.131836,0.0104567,0.104299,0.0802656
-174.226,0.998207,0.622755,3,7,0,175.265,0.0823371,0.383772,0.215851,0.131493,0.00542138,0.116575,0.0645505
-178.502,0.752829,0.622755,2,3,0,180.574,0.0739241,0.351959,0.26099,0.173643,0.00382436,0.0871244,0.0485351
-177.485,1,0.622755,3,7,0,179.883,0.19654,0.481682,0.100057,0.0493155,0.0117846,0.104167,0.0564536
-174.295,0.833894,0.622755,2,7,0,182.156,0.170116,0.469433,0.128291,0.072684,0.00187902,0.0905893,0.0670077
-173.083,0.978031,0.622755,3,7,0,175.953,0.10694,0.393434,0.190861,0.104598,0.00942447,0.150902,0.04384
-172.357,0.966051,0.622755,3,7,0,174.858,0.146118,0.417908,0.18122,0.112951,0.00327316,0.0792442,0.0592859
-175.624,0.830116,0.622755,2,7,0,176.269,0.070748,0.464837,0.134688,0.104747,0.00329893,0.136384,0.0852975
-173.713,0.931394,0.622755,3,7,0,180.1,0.168234,0.388208,0.164493,0.118546,0.00113174,0.0897644,0.0696222
-173.95,0.957352,0.622755,3,7,0,175.64,0.088832,0.453932,0.192926,0.0991039,0.0185502,0.116836,0.0298202
-173.556,0.848688,0.622755,3,7,0,178.76,0.151616,0.349999,0.199688,0.104302,0.00296766,0.129155,0.0622725
-172.705,0.964305,0.622755,3,7,0,175.266,0.167446,0.427801,0.171202,0.100988,0.0140557,0.0820426,0.036465
-174.594,0.828051,0.622755,2,7,0,176.882,0.128751,0.422127,0.154661,0.0554435,0.0181337,0.153525,0.0673588
-178.086,0.619186,0.622755,3,7,0,189.416,0.159215,0.471098,0.151266,0.145577,0.00252361,0.0380349,0.0322846
-173.312,1,0.622755,3,7,0,179.74,0.125581,0.351756,0.189944,0.131729,0.0144643,0.133467,0.0530583
-173.622,0.948146,0.622755,3,7,0,175.676,0.13595,0.514023,0.140256,0.0742657,0.006079,0.0736338,0.0557923
-172.191,0.873736,0.622755,2,3,0,176.408,0.148974,0.449183,0.180184,0.0817441,0.00752283,0.0891096,0.0432835
-173.635,0.92299,0.622755,2,7,0,174.202,0.134902,0.415344,0.133053,0.120672,0.00230282,0.100036,0.0936906
-174.175,0.875281,0.622755,3,7,0,178.048,0.127052,0.480317,0.135237,0.117641,0.0193098,0.0960855,0.0243586
-174.117,0.996125,0.622755,3,7,0,176.081,0.0949923,0.374925,0.181791,0.133567,0.00492731,0.116229,0.0935688
-174.094,0.986493,0.622755,3,7,0,176.392,0.107591,0.49856,0.167011,0.0955252,0.0175564,0.0887714,0.0249847
-174.279,0.985656,0.622755,3,7,0,176.513,0.0865889,0.420388,0.152922,0.151962,0.00275852,0.112604,0.0727769
-174.58,1,0.622755,3,7,0,176.292,0.085848,0.443906,0.176251,0.0915294,0.000941273,0.138657,0.0628675
-174.985,0.926169,0.622755,3,7,0,176.954,0.134701,0.41547,0.163485,0.0773243,0.000315458,0.140313,0.0683909
-172.126,0.798274,0.622755,3,7,0,180.12,0.12594,0.444011,0.17295,0.119966,0.00389277,0.0841993,0.0490409
-174.385,0.810052,0.622755,2,3,0,175.598,0.170913,0.367783,0.168474,0.0980098,0.0112456,0.0780724,0.105502
-173.439,0.980967,0.622755,3,7,0,176.629,0.136972,0.376416,0.177635,0.0882105,0.00465876,0.161006,0.0551016
-176.027,0.901441,0.622755,3,7,0,177.512,0.10293,0.403999,0.203754,0.157506,0.00038824,0.093056,0.0383661
-173.197,0.994186,0.622755,3,7,0,177.47,0.161858,0.412333,0.146872,0.103345,0.00482512,0.13623,0.0345366
-175.133,0.907241,0.622755,3,7,0,177.668,0.11426,0.471592,0.20828,0.0829985,0.000701435,0.063951,0.0582167
